loc_rowid,pl_hostname,pl_pnum,pl_orbper,pl_radj
78,CoRoT-24,2,5.11340000,0.330
79,CoRoT-24,2,11.75900000,0.440
98,EPIC 220674823,2,0.57133600,0.162
99,EPIC 220674823,2,13.33870000,0.247
158,GJ 9827,3,1.20895700,0.156
159,GJ 9827,3,3.64802000,0.121
160,GJ 9827,3,6.20141000,0.187
288,HD 106315,2,9.55385000,0.214
289,HD 106315,2,21.05800000,0.393
528,HD 219134,6,3.09292600,0.143
529,HD 219134,6,6.76458000,0.135
530,HD 219134,6,46.85900000,0.144
531,HD 219134,6,22.71700000,0.117
580,HD 3167,3,0.95964100,0.152
581,HD 3167,3,29.84540000,0.269
741,HIP 41378,5,15.57120000,0.259
742,HIP 41378,5,31.69780000,0.228
743,HIP 41378,5,156.00000000,0.353
744,HIP 41378,5,131.00000000,0.492
745,HIP 41378,5,324.00000000,0.910
789,K2-117,2,1.29150500,0.175
790,K2-117,2,5.44482000,0.181
808,K2-133,3,3.07120000,0.117
809,K2-133,3,4.86820000,0.132
810,K2-133,3,11.02340000,0.180
811,K2-136,3,7.97529200,0.088
812,K2-136,3,17.30713700,0.260
813,K2-136,3,25.57506500,0.129
815,K2-138,5,2.35322000,0.140
816,K2-138,5,3.55987000,0.225
817,K2-138,5,5.40478000,0.237
818,K2-138,5,8.26144000,0.294
819,K2-138,5,12.75759000,0.251
823,K2-141,2,0.28032440,0.135
824,K2-141,2,7.74850000,0.624
827,K2-148,3,4.38395000,0.119
828,K2-148,3,6.92260000,0.154
829,K2-148,3,9.75790000,0.146
836,K2-154,2,3.67635000,0.199
837,K2-154,2,7.95478000,0.187
838,K2-155,3,6.34365000,0.138
839,K2-155,3,13.85402000,0.174
840,K2-155,3,40.68350000,0.146
845,K2-16,2,7.61880000,0.180
846,K2-16,2,19.07863000,0.227
852,K2-165,3,2.35499200,0.114
853,K2-165,3,4.38274500,0.139
854,K2-165,3,14.10136100,0.236
860,K2-170,2,7.57654400,0.127
861,K2-170,2,12.40004700,0.161
863,K2-172,2,14.31694100,0.149
864,K2-172,2,29.62682000,0.286
877,K2-183,3,0.46926900,0.232
878,K2-183,3,10.79347100,0.224
879,K2-183,3,22.62949600,0.227
883,K2-187,4,0.77398100,0.123
884,K2-187,4,2.87178800,0.152
885,K2-187,4,7.14907900,0.287
886,K2-187,4,13.60834100,0.201
887,K2-188,2,1.74298300,0.112
888,K2-188,2,7.80759500,0.234
889,K2-189,2,5.17630000,0.135
890,K2-189,2,6.67934000,0.222
891,K2-19,3,7.91940000,0.691
892,K2-19,3,11.90715000,0.434
893,K2-19,3,2.50856000,0.102
894,K2-190,2,10.09885800,0.121
895,K2-190,2,21.57402300,0.098
900,K2-195,2,15.85354300,0.262
901,K2-195,2,28.48278600,0.230
905,K2-199,2,3.22542300,0.168
906,K2-199,2,7.37449700,0.253
908,K2-201,2,1.05979000,0.125
909,K2-201,2,22.77987800,0.293
918,K2-21,2,9.32503800,0.164
919,K2-21,2,15.50192000,0.222
929,K2-219,3,3.90128700,0.120
